maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex.1,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
27,13,0.0,11.6,5,1,46,12:05 AM,11:57 AM,06:46 AM,06:14 PM,15,18,18,18,16,7,83,0.0,1015,17,10,85,10
28,15,0.0,11.6,6,1,38,12:55 AM,12:38 PM,06:46 AM,06:14 PM,15,17,17,17,15,4,89,0.0,1015,16,10,92,9
28,15,0.0,11.6,6,1,38,12:55 AM,12:38 PM,06:46 AM,06:14 PM,15,16,16,16,16,8,91,0.0,1015,15,7,92,9
28,15,0.0,11.6,6,1,38,12:55 AM,12:38 PM,06:46 AM,06:14 PM,15,16,16,16,17,11,93,0.0,1015,15,5,92,9
28,15,0.0,11.6,6,1,38,12:55 AM,12:38 PM,06:46 AM,06:14 PM,14,15,15,15,17,15,95,0.0,1015,15,2,92,9
28,15,0.0,11.6,6,1,38,12:55 AM,12:38 PM,06:46 AM,06:14 PM,15,17,18,17,14,10,87,0.0,1016,16,5,95,8
28,15,0.0,11.6,6,1,38,12:55 AM,12:38 PM,06:46 AM,06:14 PM,15,20,21,20,11,5,78,0.0,1016,17,7,98,8
28,15,0.0,11.6,6,5,38,12:55 AM,12:38 PM,06:46 AM,06:14 PM,16,22,25,22,8,0,69,0.0,1017,19,10,101,7
28,15,0.0,11.6,6,6,38,12:55 AM,12:38 PM,06:46 AM,06:14 PM,13,24,25,24,9,0,55,0.0,1016,21,10,102,8
28,15,0.0,11.6,6,6,38,12:55 AM,12:38 PM,06:46 AM,06:14 PM,10,26,26,26,10,0,41,0.0,1016,24,10,103,8
28,15,0.0,11.6,6,7,38,12:55 AM,12:38 PM,06:46 AM,06:14 PM,7,27,27,28,10,0,26,0.0,1015,26,10,104,9
28,15,0.0,11.6,6,7,38,12:55 AM,12:38 PM,06:46 AM,06:14 PM,6,27,27,28,14,0,24,0.0,1014,27,10,105,12
